年號,起訖時間,君主,使用時間,備註
華漢,？,朱明月,？,見於楊宗瀛《都濡備乘》。
順天,1860年正月－1865年四月,李永和,6年,順天三年（1862年）九月李永和被俘殺，藍朝柱繼續使用至五年二月，曹燦章使用至六年四月。
天縱,1860年－1863年七月,宋繼鵬,4年,
天明,1861年二月,黃正倫,1個月,見《松滋縣志》。
喜春,1862年閏八月,王守清,1個月,見《肥鄉縣志》。
崇禎,1863年八月,穆生華,1年,用明朝崇禎年號。
成正,1863年,穆生華,？,穆生華在平涼建立「成正國」，改同治二年為成正元年，遙尊馬化龍為最高首領。但馬化龍拒絕接受擁戴，只得取消。
永清,1895年五月－九月,唐景崧、劉永福,5個月,臺灣民主國的年號。
天龍,？,朱紅燈,？,見於李增平《中國近代史》。蔣楷《平原拳匪紀事》記載是朱紅燈的名號。
保慶,？,溥儁,？,"張譽《嗇翁自訂年譜》作「普慶」。
民間流傳廢黜光緒帝之後將於庚子年（1900年）啟用的年號。"
興洪,1905年,大開、陳魁鰲,1年,乙巳年（1905年）九月建號神樂王，改元興洪。
漢德,1906年十月,龔春臺,？,《中華國民軍起義檄文》稱「黃帝紀元四千六百零四年歲次丙午」。
