年號,起訖時間,使用年數,備註
建中,780年－783年,4年,當時河西與中原的聯繫被吐蕃阻隔，敦煌不知唐朝已改元，故沿用該年號，有文書署年到「建中八年」（787年）。
興元,784年,1年,
貞元,785年－805年八月,21年,貞元二十一年（805年）正月唐順宗即位沿用。
唐順宗李誦（在位：805年）,唐順宗李誦（在位：805年）,唐順宗李誦（在位：805年）,唐順宗李誦（在位：805年）
永貞,805年八月－十二月,5個月,永貞元年（805年）八月唐憲宗即位沿用。
唐憲宗李純（在位：805年－820年）,唐憲宗李純（在位：805年－820年）,唐憲宗李純（在位：805年－820年）,唐憲宗李純（在位：805年－820年）
元和,806年正月－820年,15年,元和十五年（820年）閏正月唐穆宗即位沿用。
唐穆宗李恆（在位：820年－824年）,唐穆宗李恆（在位：820年－824年）,唐穆宗李恆（在位：820年－824年）,唐穆宗李恆（在位：820年－824年）
永新,820年二月,1日,見於《唐故趙氏夫人墓誌銘》，旋改即又廢止，只稱元和十五年。
長慶,821年正月－824年,4年,"《濟州金石志》引青龍山石龍菴佛座題字有「元慶元年」字樣，徐宗幹認為是「長慶」之誤。
長慶四年（824年）正月唐敬宗即位沿用。"
唐敬宗李湛（在位：824年－826年）,唐敬宗李湛（在位：824年－826年）,唐敬宗李湛（在位：824年－826年）,唐敬宗李湛（在位：824年－826年）
寶曆,825年正月－827年二月,3年,寶曆二年（826年）十二月唐文宗即位沿用。
唐文宗李昂（在位：826年－840年）,唐文宗李昂（在位：826年－840年）,唐文宗李昂（在位：826年－840年）,唐文宗李昂（在位：826年－840年）
大和,827年二月－835年,9年,或作太和。
開成,836年－840年,5年,開成五年（840年）正月唐武宗即位沿用。
唐武宗李炎（在位：840年－ 846年）,唐武宗李炎（在位：840年－ 846年）,唐武宗李炎（在位：840年－ 846年）,唐武宗李炎（在位：840年－ 846年）
會昌,841年正月－846年,6年,會昌六年（846年）三月唐宣宗即位沿用。
唐宣宗李忱（在位：846年－859年）,唐宣宗李忱（在位：846年－859年）,唐宣宗李忱（在位：846年－859年）,唐宣宗李忱（在位：846年－859年）
大中,847年正月－860年十月,14年,大中十三年（859年）八月唐懿宗即位沿用。
唐懿宗李漼（在位：859年－873年）,唐懿宗李漼（在位：859年－873年）,唐懿宗李漼（在位：859年－873年）,唐懿宗李漼（在位：859年－873年）
咸通,860年十一月－874年十一月,15年,咸通十四年（873年）七月唐僖宗即位沿用。
唐僖宗李儇（在位：873年－888年）,唐僖宗李儇（在位：873年－888年）,唐僖宗李儇（在位：873年－888年）,唐僖宗李儇（在位：873年－888年）
乾符,874年十一月－879年,6年,
廣明,880年－881年七月,2年,
中和,881年七月－885年三月,5年,
光啟,885年三月－888年正月,4年,
文德,888年二月－十二月,1年,文德元年（888年）三月唐昭宗即位沿用。
唐昭宗李曄（在位：888年－904年）,唐昭宗李曄（在位：888年－904年）,唐昭宗李曄（在位：888年－904年）,唐昭宗李曄（在位：888年－904年）
龍紀,889年,1年,
大順,890年－891年,2年,當時西域龜茲僧人仍繼續使用大順年號，有洞壁題字到「大順五年」（894年）。
景福,892年正月－893年,2年,
乾寧,894年－898年八月,5年,
光化,898年八月－901年三月,4年,
天復,901年四月－904年閏四月,4年,晉、岐、前蜀、歸義軍仍行唐天復年號。
天祐,904年閏四月－907年三月,4年,"天祐元年（904年）八月唐哀帝李柷即位沿用。
晉、吳、吳越、岐仍行唐天祐年號。"
